"FacilityID","SiyenzaDate","SiyenzaWeek","SiyenzaPeriod","CopYear","Headcount","HPRS_Visits","HPRS_files_processed","CCMDD_files_processed","CCMDD_TIER","CCMDD_Manual","CCMDD_Synch","CCMDD_cases_unaccounted_for_and_corrected","HTS_(community_+_facility_+_KP)","HTS+_(community_+_facility_+_KP)","HTS_TST_POS_Extended","HTS_TST_POS_IP","HTS_TST_POS_Weekend","HTS","HTS+","TX_NEW","TPT","TX_NEW_IP","TX_NEW_Extended","TX_NEW_SAME_DAY","TX_NEW_Weekend","TX_CURR_28_day","TX_CURR_90_day","CURR_DATA","CURR_RTC","EARLYMISSED","LATEMISSED","ULTF","cLTF","LTFU_contacted","LTFU_recalled","VerificationStatus"
"1","2019-08-07 00:00:00","32","201908","COP18","","","4.0","","","","","","69.0","1.0","0.0","1.0","0.0","41.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","","2.0","11.0","","","","","73.0","11.0","VERIFIED"
"1","2019-08-08 00:00:00","32","201908","COP18","560.0","220.0","1.0","0.0","0.0","0.0","","0.0","60.0","2.0","0.0","2.0","0.0","26.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0","2202.0","2411.0","1.0","11.0","49.0","38.0","90.0","1221.0","32.0","11.0","VERIFIED"
"1","2019-08-09 00:00:00","32","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-10 00:00:00","32","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-11 00:00:00","32","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-12 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-13 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-14 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-15 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-16 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","2202.0","","","","","","","","","","NOT VERIFIED"
"1","2019-08-17 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-18 00:00:00","33","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-19 00:00:00","34","201908","COP18","","","3.0","","","","","","30.0","2.0","0.0","2.0","0.0","30.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0","","","0.0","8.0","","","","","18.0","8.0","VERIFIED"
"1","2019-08-20 00:00:00","34","201908","COP18","","","4.0","","","","","","40.0","2.0","0.0","2.0","0.0","40.0","2.0","2.0","2.0","2.0","0.0","2.0","0.0","","","0.0","4.0","","","","","21.0","8.0","VERIFIED"
"1","2019-08-21 00:00:00","34","201908","COP18","","","10.0","","","","","","34.0","1.0","0.0","1.0","0.0","34.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","","11.0","1.0","","","","","20.0","11.0","VERIFIED"
"1","2019-08-22 00:00:00","34","201908","COP18","","","1.0","","","","","","39.0","1.0","0.0","1.0","0.0","39.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","","","0.0","2.0","","","","","18.0","2.0","VERIFIED"
"1","2019-08-23 00:00:00","34","201908","COP18","965.0","143.0","3.0","0.0","1.0","3.0","","0.0","31.0","1.0","0.0","1.0","0.0","31.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","2240.0","2433.0","0.0","2.0","74.0","67.0","98.0","0.0","20.0","2.0","VERIFIED"
"1","2019-08-24 00:00:00","34","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-25 00:00:00","34","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-08-26 00:00:00","35","201908","COP18","","","11.0","","","","","","25.0","1.0","0.0","1.0","0.0","25.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","","","0.0","4.0","","","","","30.0","4.0","VERIFIED"
"1","2019-08-27 00:00:00","35","201908","COP18","","","0.0","","","","","","40.0","0.0","0.0","0.0","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","7.0","","","","","42.0","7.0","VERIFIED"
"1","2019-08-28 00:00:00","35","201908","COP18","","","5.0","0.0","","","","0.0","40.0","1.0","0.0","1.0","0.0","40.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","","2.0","5.0","","","","","58.0","5.0","VERIFIED"
"1","2019-08-29 00:00:00","35","201908","COP18","","","1.0","","","","","","26.0","1.0","0.0","0.0","0.0","26.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","","2.0","9.0","","","","","35.0","9.0","VERIFIED"
"1","2019-08-30 00:00:00","35","201908","COP18","844.0","200.0","0.0","0.0","0.0","0.0","","0.0","14.0","0.0","0.0","0.0","0.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2243.0","2433.0","0.0","7.0","105.0","85.0","107.0","","35.0","7.0","VERIFIED"
"1","2019-08-31 00:00:00","35","201908","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
"1","2019-09-01 00:00:00","35","201909","COP18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NOT VERIFIED"
